test accuracy,train accuracy,percent,iter,time done,time left,iters per second,lora_k,lora_type,num_layer,mode,dataset,time per iter
0.5,0.5,100,1000,98, 00:00,10.11,32,-1,3,-1,cola,0.098
0.5,0.5,100,1000,103, 00:00,9.63,64,-1,3,-1,cola,0.103
0.6568323373794556,0.975,100,1000,112, 00:00,8.87,4,0,3,-1,cola,0.112
0.590062141418457,0.9367,100,1000,113, 00:00,8.83,16,0,3,-1,cola,0.113
0.5,0.5,100,1000,113, 00:00,8.78,32,0,3,-1,cola,0.113
0.5,0.5,100,1000,114, 00:00,8.73,64,0,3,-1,cola,0.114
0.6211180090904236,0.9583,100,1000,112, 00:00,8.89,4,3,3,-1,cola,0.112
0.6226708292961121,0.9667,100,1000,113, 00:00,8.85,16,3,3,-1,cola,0.113
0.5,0.5,100,1000,113, 00:00,8.81,32,3,3,-1,cola,0.113
0.5,0.5,100,1000,114, 00:00,8.7,64,3,3,-1,cola,0.114
0.6257764101028442,0.97,100,1000,112, 00:00,8.87,4,6,3,-1,cola,0.112
0.5481366515159607,0.9033,100,1000,113, 00:00,8.83,16,6,3,-1,cola,0.113
0.5,0.5,100,1000,113, 00:00,8.78,32,6,3,-1,cola,0.113
0.5,0.5,100,1000,115, 00:00,8.69,64,6,3,-1,cola,0.115
0.5636646151542664,0.945,100,1000,112, 00:00,8.88,4,9,3,-1,cola,0.112
0.6040372848510742,0.96,100,1000,113, 00:00,8.85,16,9,3,-1,cola,0.113
0.5,0.585,100,1000,113, 00:00,8.82,32,9,3,-1,cola,0.113
0.5,0.5,100,1000,114, 00:00,8.71,64,9,3,-1,cola,0.114
0.6164596676826477,0.9317,100,1000,116, 00:00,8.59,4,11,3,-1,cola,0.116
0.6133540272712708,0.9567,100,1000,116, 00:00,8.56,16,11,3,-1,cola,0.116
0.6537266969680786,0.96,100,1000,117, 00:00,8.55,32,11,3,-1,cola,0.117
0.5,0.6133,100,1000,117, 00:00,8.52,64,11,3,-1,cola,0.117
0.9701754450798036,0.995,10,100,22, 03:23,4.42,4,-1,1,-1,sst2_aug_random_insertion,0.22
0.9543859958648682,0.9983,10,100,22, 03:25,4.38,16,-1,1,-1,sst2_aug_random_insertion,0.22
0.5,0.5,100,1000,171, 00:00,5.84,32,-1,1,-1,sst2_aug_random_insertion,0.171
0.5,0.5,100,1000,176, 00:00,5.66,64,-1,1,-1,sst2_aug_random_insertion,0.176
0.921052634716034,0.995,10,100,23, 03:34,4.2,4,0,1,-1,sst2_aug_random_insertion,0.23
0.9280701875686646,1.0,30,300,60, 02:20,4.99,16,0,1,-1,sst2_aug_random_insertion,0.2
0.91929829120636,0.9983,20,200,42, 02:48,4.75,32,0,1,-1,sst2_aug_random_insertion,0.21
0.9280701875686646,0.9983,10,100,23, 03:34,4.19,64,0,1,-1,sst2_aug_random_insertion,0.23
0.9105263352394104,1.0,20,200,42, 02:48,4.76,4,3,1,-1,sst2_aug_random_insertion,0.21
0.9087719321250916,1.0,10,100,23, 03:33,4.21,16,3,1,-1,sst2_aug_random_insertion,0.23
0.8771929740905762,1.0,20,200,42, 02:48,4.75,32,3,1,-1,sst2_aug_random_insertion,0.21
0.8438596725463867,0.9983,40,400,78, 01:57,5.1,64,3,1,-1,sst2_aug_random_insertion,0.195
0.921052634716034,0.9983,10,100,23, 03:33,4.21,4,6,1,-1,sst2_aug_random_insertion,0.23
0.9122807383537292,0.9967,10,100,23, 03:34,4.2,16,6,1,-1,sst2_aug_random_insertion,0.23
0.8964912295341492,1.0,10,100,23, 03:34,4.2,32,6,1,-1,sst2_aug_random_insertion,0.23
0.5,0.5,100,1000,183, 00:00,5.46,64,6,1,-1,sst2_aug_random_insertion,0.183
0.9070175886154176,0.995,10,100,23, 03:33,4.21,4,9,1,-1,sst2_aug_random_insertion,0.23
0.8719298243522644,0.995,10,100,23, 03:34,4.2,16,9,1,-1,sst2_aug_random_insertion,0.23
0.898245632648468,0.9967,10,100,23, 03:34,4.2,32,9,1,-1,sst2_aug_random_insertion,0.23
0.9228070378303528,0.9983,10,100,23, 03:34,4.19,64,9,1,-1,sst2_aug_random_insertion,0.23
0.8859649300575256,0.9967,10,100,23, 03:33,4.21,4,11,1,-1,sst2_aug_random_insertion,0.23
0.9070175886154176,0.9983,20,200,42, 02:48,4.76,16,11,1,-1,sst2_aug_random_insertion,0.21
0.9333333373069764,1.0,20,200,42, 02:48,4.75,32,11,1,-1,sst2_aug_random_insertion,0.21
0.8491228222846985,0.995,30,300,60, 02:20,4.97,64,11,1,-1,sst2_aug_random_insertion,0.2
0.9701754450798036,0.995,10,100,22, 03:23,4.42,4,-1,2,-1,sst2_aug_random_insertion,0.22
0.9543859958648682,0.9983,10,100,22, 03:25,4.38,16,-1,2,-1,sst2_aug_random_insertion,0.22
0.5,0.5,100,1000,170, 00:00,5.85,32,-1,2,-1,sst2_aug_random_insertion,0.17
0.5,0.5,100,1000,176, 00:00,5.67,64,-1,2,-1,sst2_aug_random_insertion,0.176
0.9298245906829834,0.995,10,100,23, 03:32,4.23,4,0,2,-1,sst2_aug_random_insertion,0.23
0.921052634716034,1.0,10,100,23, 03:33,4.22,16,0,2,-1,sst2_aug_random_insertion,0.23
0.8877193331718445,0.9967,10,100,23, 03:33,4.21,32,0,2,-1,sst2_aug_random_insertion,0.23
0.5,0.5,100,1000,182, 00:00,5.49,64,0,2,-1,sst2_aug_random_insertion,0.182
0.95964914560318,1.0,20,200,41, 02:47,4.79,4,3,2,-1,sst2_aug_random_insertion,0.205
0.9140350818634032,0.9967,20,200,41, 02:47,4.79,16,3,2,-1,sst2_aug_random_insertion,0.205
0.9000000357627869,1.0,20,200,41, 02:47,4.77,32,3,2,-1,sst2_aug_random_insertion,0.205
0.5,0.5,100,1000,182, 00:00,5.49,64,3,2,-1,sst2_aug_random_insertion,0.182
0.9403508901596068,0.995,10,100,23, 03:33,4.22,4,6,2,-1,sst2_aug_random_insertion,0.23
0.9105263352394104,1.0,10,100,23, 03:33,4.22,16,6,2,-1,sst2_aug_random_insertion,0.23
0.9087719321250916,0.9983,10,100,23, 03:33,4.22,32,6,2,-1,sst2_aug_random_insertion,0.23
0.7929824590682983,0.9967,60,600,114, 01:16,5.23,64,6,2,-1,sst2_aug_random_insertion,0.19
0.917543888092041,0.9983,10,100,23, 03:32,4.23,4,9,2,-1,sst2_aug_random_insertion,0.23
0.8894736766815186,0.9983,10,100,23, 03:33,4.22,16,9,2,-1,sst2_aug_random_insertion,0.23
0.9087719321250916,0.995,20,200,41, 02:47,4.77,32,9,2,-1,sst2_aug_random_insertion,0.205
0.5,0.505,100,1000,182, 00:00,5.48,64,9,2,-1,sst2_aug_random_insertion,0.182
0.8859649300575256,0.9967,10,100,23, 03:33,4.21,4,11,2,-1,sst2_aug_random_insertion,0.23
0.9070175886154176,0.9983,20,200,42, 02:48,4.76,16,11,2,-1,sst2_aug_random_insertion,0.21
0.9333333373069764,1.0,20,200,42, 02:48,4.75,32,11,2,-1,sst2_aug_random_insertion,0.21
0.8491228222846985,0.995,30,300,60, 02:20,4.97,64,11,2,-1,sst2_aug_random_insertion,0.2
0.9701754450798036,0.995,10,100,22, 03:23,4.42,4,-1,3,-1,sst2_aug_random_insertion,0.22
0.9543859958648682,0.9983,10,100,22, 03:25,4.39,16,-1,3,-1,sst2_aug_random_insertion,0.22
0.5,0.5,100,1000,170, 00:00,5.85,32,-1,3,-1,sst2_aug_random_insertion,0.17
0.5,0.5,100,1000,176, 00:00,5.66,64,-1,3,-1,sst2_aug_random_insertion,0.176
0.8964912295341492,0.9983,50,500,95, 01:35,5.25,4,0,3,-1,sst2_aug_random_insertion,0.19
0.9035087823867798,1.0,10,100,23, 03:32,4.23,16,0,3,-1,sst2_aug_random_insertion,0.23
0.8561403751373291,0.9967,30,300,59, 02:19,5.02,32,0,3,-1,sst2_aug_random_insertion,0.19666666666666666
0.5,0.5,100,1000,181, 00:00,5.5,64,0,3,-1,sst2_aug_random_insertion,0.181
0.9298245906829834,1.0,10,100,23, 03:32,4.24,4,3,3,-1,sst2_aug_random_insertion,0.23
0.9333333373069764,0.9983,10,100,23, 03:32,4.24,16,3,3,-1,sst2_aug_random_insertion,0.23
0.780701756477356,0.9983,80,800,149, 00:37,5.34,32,3,3,-1,sst2_aug_random_insertion,0.18625
0.5,0.5,100,1000,182, 00:00,5.49,64,3,3,-1,sst2_aug_random_insertion,0.182
0.917543888092041,0.995,20,200,41, 02:46,4.82,4,6,3,-1,sst2_aug_random_insertion,0.205
0.898245632648468,0.9983,10,100,23, 03:32,4.24,16,6,3,-1,sst2_aug_random_insertion,0.23
0.9052631855010986,1.0,10,100,23, 03:32,4.23,32,6,3,-1,sst2_aug_random_insertion,0.23
0.8052631616592407,0.995,30,300,60, 02:20,5.0,64,6,3,-1,sst2_aug_random_insertion,0.2
0.9298245906829834,0.9983,10,100,23, 03:32,4.24,4,9,3,-1,sst2_aug_random_insertion,0.23
0.9333333373069764,1.0,20,200,41, 02:46,4.8,16,9,3,-1,sst2_aug_random_insertion,0.205
0.5,0.5,100,1000,180, 00:00,5.55,32,9,3,-1,sst2_aug_random_insertion,0.18
0.5,0.5,100,1000,181, 00:00,5.5,64,9,3,-1,sst2_aug_random_insertion,0.181
0.8859649300575256,0.9967,10,100,23, 03:33,4.21,4,11,3,-1,sst2_aug_random_insertion,0.23
0.9070175886154176,0.9983,20,200,42, 02:48,4.76,16,11,3,-1,sst2_aug_random_insertion,0.21
0.9333333373069764,1.0,20,200,42, 02:48,4.75,32,11,3,-1,sst2_aug_random_insertion,0.21
0.8491228222846985,0.995,30,300,60, 02:20,4.97,64,11,3,-1,sst2_aug_random_insertion,0.2
0.9333333373069764,0.9967,20,200,30, 02:01,6.59,4,-1,1,-1,sst2_aug_random_swap,0.15
0.8964912295341492,1.0,20,200,30, 02:03,6.46,16,-1,1,-1,sst2_aug_random_swap,0.15
0.5,0.5,100,1000,138, 00:00,7.2,32,-1,1,-1,sst2_aug_random_swap,0.138
0.5,0.5,100,1000,144, 00:00,6.93,64,-1,1,-1,sst2_aug_random_swap,0.144
0.8245614171028137,0.995,30,300,48, 01:53,6.15,4,0,1,-1,sst2_aug_random_swap,0.16
0.840350866317749,0.9983,20,200,33, 02:14,5.93,16,0,1,-1,sst2_aug_random_swap,0.165
0.857894778251648,0.995,20,200,33, 02:14,5.93,32,0,1,-1,sst2_aug_random_swap,0.165
0.8421052694320679,1.0,30,300,48, 01:54,6.13,64,0,1,-1,sst2_aug_random_swap,0.16
0.838596522808075,0.9983,70,700,109, 00:47,6.38,4,3,1,-1,sst2_aug_random_swap,0.15571428571428572
0.8719298243522644,1.0,30,300,48, 01:54,6.13,16,3,1,-1,sst2_aug_random_swap,0.16
0.857894778251648,1.0,50,500,79, 01:19,6.32,32,3,1,-1,sst2_aug_random_swap,0.158
0.8561403751373291,1.0,30,300,48, 01:54,6.13,64,3,1,-1,sst2_aug_random_swap,0.16
0.857894778251648,0.995,30,300,48, 01:53,6.15,4,6,1,-1,sst2_aug_random_swap,0.16
0.9035087823867798,1.0,50,500,79, 01:19,6.31,16,6,1,-1,sst2_aug_random_swap,0.158
0.8807017803192139,1.0,10,100,18, 02:44,5.46,32,6,1,-1,sst2_aug_random_swap,0.18
0.8473684191703796,0.9983,20,200,33, 02:15,5.92,64,6,1,-1,sst2_aug_random_swap,0.165
0.8526315689086914,1.0,30,300,48, 01:53,6.15,4,9,1,-1,sst2_aug_random_swap,0.16
0.8228070139884949,0.9983,70,700,109, 00:46,6.4,16,9,1,-1,sst2_aug_random_swap,0.15571428571428572
0.8701754808425903,0.9983,20,200,33, 02:15,5.92,32,9,1,-1,sst2_aug_random_swap,0.165
0.9122807383537292,1.0,30,300,48, 01:54,6.13,64,9,1,-1,sst2_aug_random_swap,0.16
0.8859649300575256,0.9983,20,200,33, 02:14,5.95,4,11,1,-1,sst2_aug_random_swap,0.165
0.8771929740905762,0.9967,10,100,18, 02:45,5.43,16,11,1,-1,sst2_aug_random_swap,0.18
0.8631579279899597,0.995,20,200,33, 02:15,5.91,32,11,1,-1,sst2_aug_random_swap,0.165
0.8771929740905762,0.995,20,200,33, 02:15,5.89,64,11,1,-1,sst2_aug_random_swap,0.165
0.9333333373069764,0.9967,20,200,30, 02:02,6.54,4,-1,2,-1,sst2_aug_random_swap,0.15
0.8964912295341492,1.0,20,200,30, 02:03,6.47,16,-1,2,-1,sst2_aug_random_swap,0.15
0.5,0.5,100,1000,138, 00:00,7.22,32,-1,2,-1,sst2_aug_random_swap,0.138
0.5,0.5,100,1000,143, 00:00,6.95,64,-1,2,-1,sst2_aug_random_swap,0.143
0.8842105269432068,1.0,20,200,33, 02:13,5.98,4,0,2,-1,sst2_aug_random_swap,0.165
0.8842105269432068,0.995,20,200,33, 02:13,5.99,16,0,2,-1,sst2_aug_random_swap,0.165
0.8824561834335327,0.9967,20,200,33, 02:14,5.95,32,0,2,-1,sst2_aug_random_swap,0.165
0.5807017683982849,0.7483,100,1000,152, 00:00,6.58,64,0,2,-1,sst2_aug_random_swap,0.152
0.8491228222846985,0.9983,30,300,48, 01:53,6.19,4,3,2,-1,sst2_aug_random_swap,0.16
0.8912280797958374,1.0,20,200,33, 02:14,5.97,16,3,2,-1,sst2_aug_random_swap,0.165
0.5,0.5,100,1000,151, 00:00,6.6,32,3,2,-1,sst2_aug_random_swap,0.151
0.878947377204895,0.9983,20,200,33, 02:15,5.89,64,3,2,-1,sst2_aug_random_swap,0.165
0.8736842274665833,0.995,10,100,18, 02:45,5.42,4,6,2,-1,sst2_aug_random_swap,0.18
0.8736842274665833,1.0,20,200,33, 02:14,5.96,16,6,2,-1,sst2_aug_random_swap,0.165
0.8842105269432068,0.9983,20,200,33, 02:14,5.95,32,6,2,-1,sst2_aug_random_swap,0.165
0.8228070139884949,0.9983,40,400,64, 01:36,6.24,64,6,2,-1,sst2_aug_random_swap,0.16
0.8771929740905762,1.0,20,200,33, 02:14,5.97,4,9,2,-1,sst2_aug_random_swap,0.165
0.8701754808425903,1.0,30,300,48, 01:52,6.2,16,9,2,-1,sst2_aug_random_swap,0.16
0.840350866317749,0.9983,30,300,48, 01:53,6.18,32,9,2,-1,sst2_aug_random_swap,0.16
0.8333333730697632,1.0,30,300,48, 01:53,6.16,64,9,2,-1,sst2_aug_random_swap,0.16
0.8859649300575256,0.9983,20,200,33, 02:15,5.92,4,11,2,-1,sst2_aug_random_swap,0.165
0.8771929740905762,0.9967,10,100,18, 02:46,5.42,16,11,2,-1,sst2_aug_random_swap,0.18
0.8631579279899597,0.995,20,200,33, 02:15,5.91,32,11,2,-1,sst2_aug_random_swap,0.165
0.8771929740905762,0.995,20,200,33, 02:15,5.9,64,11,2,-1,sst2_aug_random_swap,0.165
0.9333333373069764,0.9967,20,200,30, 02:02,6.54,4,-1,3,-1,sst2_aug_random_swap,0.15
0.8964912295341492,1.0,20,200,30, 02:03,6.49,16,-1,3,-1,sst2_aug_random_swap,0.15
0.5,0.5,100,1000,138, 00:00,7.24,32,-1,3,-1,sst2_aug_random_swap,0.138
0.5,0.5,100,1000,143, 00:00,6.97,64,-1,3,-1,sst2_aug_random_swap,0.143
0.8052631616592407,0.995,30,300,47, 01:51,6.26,4,0,3,-1,sst2_aug_random_swap,0.15666666666666668
0.8771929740905762,0.9967,20,200,33, 02:12,6.04,16,0,3,-1,sst2_aug_random_swap,0.165
0.8859649300575256,1.0,20,200,33, 02:13,6.01,32,0,3,-1,sst2_aug_random_swap,0.165
0.5052631497383118,0.5017,100,1000,151, 00:00,6.61,64,0,3,-1,sst2_aug_random_swap,0.151
0.9017543792724608,0.9967,20,200,33, 02:12,6.02,4,3,3,-1,sst2_aug_random_swap,0.165
0.8929824829101562,1.0,30,300,48, 01:52,6.23,16,3,3,-1,sst2_aug_random_swap,0.16
0.8333333730697632,0.995,60,600,92, 01:01,6.46,32,3,3,-1,sst2_aug_random_swap,0.15333333333333332
0.8280701637268066,0.995,20,200,33, 02:14,5.95,64,3,3,-1,sst2_aug_random_swap,0.165
